Θユ繷计-羆计,Θユ繷计-キА秖,Θユ繷计-キА基,砏睫(75そょ)-繷计,砏睫(75そょ)-キА秖,砏睫(75そょ)-キА基,75そょ-繷计,75そょ-キА秖,75そょ-キА基,75()-95(ぃ)-繷计,75()-95(ぃ)-キА秖,75()-95(ぃ)-キА基,95()-115()-繷计,95()-115()-キА秖,95()-115()-キА基,115()-135(ぃ)-繷计,115()-135(ぃ)-キА秖,115()-135(ぃ)-キА基,135()-155(ぃ)-繷计,135()-155(ぃ)-キА秖,135()-155(ぃ)-キА基,155そょ-繷计,155そょ-キА秖,155そょ-キА基,瞊∣贺睫-繷计,瞊∣贺睫-キА秖,瞊∣贺睫-キА基,ㄤ睫-繷计,ㄤ睫-キА秖,ㄤ睫-キА基,紅-繷计,紅-キА秖,紅-キА基,Θユ羆计(ぃ紅)-繷计,Θユ羆计(ぃ紅)-キА秖,Θユ羆计(ぃ紅)-キА基
2701,118.99,72.36,2625,119.27,72.66,2,67,36.51,57,90.04,65,1000,108,72.22,1384,123.55,73.27,241,141.48,70.97,17,179.32,55.34,0,0,0,0,0,0,349,124.7,65.66,2352,118.15,73.4
1213,140.53,81,1153,140.46,81.58,0,0,0,3,91.33,57.42,88,108.81,73.2,365,126.56,80.23,464,144.12,83.53,236,166.57,81.9,0,0,0,57,144.58,70.32,53,122.48,64.27,1160,141.36,81.66
3149,136.34,76.19,2583,129.61,76.46,0,0,0,18,89.6,53.7,378,108.1,72.6,1216,125,76.9,989,143.5,77.1,528,169.2,76.5,20,180,54,0,0,0,165,126.2,65.2,2984,136.9,76.75
1112,139.62,75.82,1052,139.4,76.95,0,0,0,6,89.4,48,97,110.2,69.71,381,126.4,75.44,364,144.3,78,210,168,79.64,11,197.3,42.04,43,137.1,62.58,163,130.2,64.46,949,141.24,77.61
610,130.06,83.35,608,130.18,83.39,0,0,0,2,91.5,64.3,59,110.5,79.76,355,125.8,84.03,169,141.9,83.88,25,159.64,79.24,0,0,0,0,0,0,0,0,0,610,130.06,83.35
3609,129.11,76.05,3451,127.62,76.45,0,0,0,18,90.78,62.73,468,109.25,74.11,2069,125.26,76.26,914,142.36,77.74,140,170.85,69.56,0,0,0,0,0,0,293,124.53,67.37,3316,129.52,76.78
493,130.06,77.75,484,130.78,78.04,0,0,0,9,91.44,55.1,80,108.23,71.1,231,126.48,77.84,143,143.69,80.98,30,162.5,79.22,0,0,0,0,0,0,0,0,0,493,130.06,77.75
292,121.27,77.65,286,120.81,77.74,0,0,0,1,90,62.4,96,107.88,77.48,152,124.07,77.91,38,140.45,77.64,0,0,0,5,153.5,75.32,0,0,0,0,0,0,292,121.27,77.65
2142,124.71,70.72,2049,124.35,71.19,0,0,0,24,90.02,68.33,511,108.48,72.31,1116,124.97,71.23,422,141.91,70.08,29,159.74,67.19,18,171.25,59.25,22,112.5,44.84,645,127.99,68.16,1497,123.3,71.87
103,125.75,80.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,125.75,80.24,0,0,0,103,125.75,80.24
518,123.8,74.98,513,123.88,75.03,0,0,0,1,81.5,52.6,124,108.86,71.44,309,125.2,75.13,80,142.06,78.98,2,158.75,89.86,0,0,0,2,90,39,112,119.08,68.55,406,125.1,76.67
1747,125.76,73.1,1655,125.06,73.58,0,0,0,14,90.64,61.83,363,108.55,71.58,916,124.58,74.14,376,142.15,73.87,41,163.35,67.84,5,161.56,61.27,32,123.82,62.82,391,124.47,68.25,1356,126.13,74.48
1718,124.09,69.84,1609,123.06,70.6,1,70.5,30,38,90.4,61.66,429,108.1,69.85,895,124.2,71.24,285,142,69.71,70,166.7,59.57,0,0,0,0,0,0,798,124.5,67.54,920,123.73,71.85
883,118.27,72.81,859,118.51,73,0,0,0,9,90.67,67.64,311,107.62,72.73,488,122.83,73.35,60,139.79,71.52,1,156,68.2,0,0,0,14,118.43,64.16,220,121.71,69.52,663,117.12,73.94
664,118.87,71.82,645,119.44,72.08,1,63,15,12,89.71,65.8,238,106.59,71.6,350,124.82,72.26,57,140.05,72.64,2,156.25,69.65,0,0,0,4,110.38,50.2,157,121.77,67.62,507,117.98,73.16
1449,122.26,73.1,1397,122.8,73.64,11,59.55,25.87,25,87.56,66.58,366,107.83,73.73,824,124.86,74.03,207,141.1,72.16,8,160.75,61.59,8,183.69,51.14,0,0,0,260,128.42,67.43,1189,120.92,74.42
3061,119.36,72.15,2815,120.75,73.02,0,0,0,118,89.75,67.77,951,107.98,73.47,1536,124.21,73.39,328,141.57,70.51,18,162.44,71.25,0,0,0,110,108.64,51.38,591,121.93,67.34,2470,118.75,73.33
1033,121.11,72.57,945,123.6,73.32,0,0,0,60,88.2,67,241,108.2,74,555,125.4,74.1,149,141.8,69.9,0,0,0,0,0,0,28,107.6,53.3,192,131.2,67.7,841,118.81,73.8
945,120.42,72.71,892,121.05,73.24,4,60.1,36.85,31,89.12,65.3,296,107.09,72.22,465,124.27,74.53,131,141.14,70.97,16,163.08,64.02,0,0,0,2,107.1,46.81,154,122.11,66.62,791,120.1,73.92
1424,118.84,73.3,1376,119.11,73.92,0,0,0,10,92,64.23,485,108.57,73.25,806,123.09,74.09,85,141.44,75.39,3,160,66.73,0,0,0,35,112.36,50.46,201,119.2,68.03,1223,118.78,74.17
2346,119.57,72.04,2137,120.94,72.99,28,59.13,35.07,66,90.32,62.79,697,106.65,72.65,1110,123.56,73.73,330,142.33,71.38,29,159.21,64.82,7,191.07,60.49,79,107.33,62.49,315,130.52,66.83,2031,117.87,72.93
1687,117.85,72.67,1609,118.43,73.05,0,0,0,49,90.3,64.37,701,107.5,72.05,754,123.6,73.79,154,142.9,73.33,5,157.1,70.71,7,165.5,76.53,17,111,52.05,161,123.7,67.52,1526,117.23,73.24
2493,120.08,72.77,2400,120.15,73.02,4,65.62,30.89,53,91.58,65.43,909,107.41,72.85,1170,124.08,73.47,321,141.89,71.97,36,163.47,68.33,0,0,0,0,0,0,291,126.13,66.34,2202,119.28,73.67
1018,137.82,78.38,943,138.07,79.42,0,0,0,11,91.91,56.28,105,108.69,71.15,335,126.26,78.16,330,144.62,81.67,173,166.26,80.82,0,0,0,64,142.09,65.88,60,121.48,64.55,958,138.84,79.13
2947,134.68,75.02,2520,129.32,75,1,71.2,55,5,85.5,57,365,109.1,71.8,1246,125.2,73.9,909,143.1,77.3,417,167.2,75.5,4,195,50,0,0,0,225,122.6,65.8,2722,135.68,75.7
1029,133.94,75.16,958,134.34,76.37,0,0,0,6,90.3,54.78,98,107.8,70.02,452,125.5,74.87,301,143.7,77.46,107,169.7,82.17,7,196.8,36.62,58,124.2,62.44,169,123.6,65.83,860,135.97,76.83
526,125.43,79.11,524,125.56,79.2,0,0,0,2,92.5,50.54,139,106.9,71.97,250,125.81,81.37,120,142.18,81.23,15,161.26,80.95,0,0,0,0,0,0,0,0,0,526,125.43,79.11
3006,127.15,72.65,2848,125.75,73.2,0,0,0,48,89.36,55.22,530,108.53,69.12,1668,125.08,72.96,650,141.51,76.28,110,179.84,66.47,0,0,0,0,0,0,347,119.34,64.65,2659,128.17,73.62
496,135.79,79.35,496,135.79,79.35,0,0,0,0,0,0,48,110.13,73.13,210,126.57,78.98,181,144.57,81.37,57,163.53,78.24,0,0,0,0,0,0,0,0,0,496,135.79,79.35
273,121.12,78.3,268,120.98,78.51,0,0,0,3,86.5,64.78,93,109.44,77.37,145,124.21,79.14,30,141.17,78.54,0,0,0,2,191.5,69.7,0,0,0,0,0,0,273,121.12,78.3
2067,123.13,70.84,1962,122.89,71.2,0,0,0,42,89.19,67.32,615,107.94,71.76,966,124.69,71.28,381,142.45,70.33,45,160.28,67.71,6,173.25,53.8,12,116.96,47.23,642,126.29,68.49,1425,121.71,71.94
554,123.54,73.04,541,123.19,73.4,0,0,0,3,91.17,57.56,151,109.49,70.68,317,125.22,74.01,73,142.75,75.4,7,168.14,63.78,0,0,0,3,113.33,46.12,130,120.38,68.24,424,124.5,74.46
1640,125.62,73.79,1524,124.79,74.53,0,0,0,15,91,61.95,406,107.9,72.04,755,125.41,75.47,363,142.4,74.92,56,161.36,71.22,3,151.47,51.85,42,118.56,55.37,336,122.5,69.16,1304,126.43,74.94
1634,128.07,71.2,1568,127.12,71.59,1,60,10,12,87.3,63.42,253,108.9,71.35,926,125.6,71.85,389,142.6,71.18,53,166.7,63.65,0,0,0,0,0,0,758,128.2,67.93,876,127.96,74.04
1060,121.13,71.39,1024,121.25,71.82,1,60.5,10,5,87.7,62.74,309,108.42,71.47,581,123.39,72.33,134,141.56,70.54,9,159.33,63.28,0,0,0,21,109.86,56.13,373,123.44,69.14,687,119.88,72.64
646,120.94,71.99,619,121.4,72.36,0,0,0,12,91.75,68.08,205,108.44,72.41,320,123.8,72.71,94,141.5,71.26,3,164.67,59.46,1,147,56,11,112.68,59.62,146,122.9,68.47,500,120.37,73.04
1399,122.54,73.78,1331,122.73,74.27,5,54.7,16.04,34,88.91,66.21,386,107.52,74.4,724,124.83,74.9,221,142.4,72.31,19,160.61,70.69,10,173.9,55.22,0,0,0,216,126.75,68.07,1183,121.77,74.87
2918,120.12,71.67,2665,121.61,72.35,1,73,58,140,88.79,67.13,858,107.43,72.74,1411,124.5,72.59,396,142.01,70.96,38,162.05,70.06,0,0,0,74,105.14,51.82,681,123.2,67.38,2237,119.19,73.01
973,118.04,70.69,875,121.2,71.42,0,0,0,78,88.9,64.2,307,107.3,72.1,447,124.9,72.1,121,142.8,67.9,0,0,0,0,0,0,20,93.5,53.3,252,128.7,66.7,721,114.32,72.25
941,124.09,72.34,900,124.09,72.81,2,62,24.77,18,88.52,59.44,232,107.45,72.73,472,124.99,73.67,196,141.61,71.07,16,169.41,68.14,2,170.7,56.05,3,106.87,43.62,183,126.5,66.98,758,123.51,73.67
1259,121.74,74.26,1216,121.4,74.54,0,0,0,7,92.93,69.45,364,108.5,74.59,709,123.98,74.48,143,141.42,74.7,17,159.74,76.85,0,0,0,19,120.63,54.35,152,122,68.12,1107,121.71,75.1
2158,117.19,74.13,1989,118.41,74.99,16,66.16,38.13,72,90.03,65.33,765,106.26,74.41,1022,122.85,75.61,202,141.92,73.93,19,161.39,71.28,1,171,65.8,61,108.33,59.4,238,123.89,68.76,1920,116.36,74.84
1716,122.44,73.74,1645,122.52,74.08,0,0,0,27,90.5,67.75,490,107.6,73.93,883,124.7,74.34,272,142.3,73.56,10,157.5,70.69,11,166,71.31,23,118.5,57.24,205,129.1,67.98,1511,121.54,74.57
2501,118.71,73.95,2392,119.4,74.49,11,69.14,31.19,73,88.44,58,905,107.4,73.75,1236,123.79,75.18,251,141.09,73.58,25,162.56,69.01,0,0,0,0,0,0,339,120.86,66.55,2162,118.37,75.14
933,136.59,78.34,870,136.15,79.22,0,0,0,0,0,0,77,109.93,73.72,398,126.03,76.75,276,143.68,81.89,119,169.48,82.43,0,0,0,63,142.77,66.76,48,120.94,69.07,885,137.44,78.78
2921,131.97,74.9,2637,128.51,75.11,0,0,0,15,89.7,54.3,403,108,70,1336,125.1,74.6,898,142.8,77.5,243,167,76.7,26,180,50,0,0,0,299,124.4,65,2622,132.84,75.95
1045,136.99,76.69,951,136.29,79.01,0,0,0,8,89,44.56,127,108.4,69,360,125.7,77.38,289,144,80.54,175,165.6,84.13,23,200.7,37.6,63,130.4,64.7,155,119.8,66.75,890,139.99,78.17
532,128.56,82.09,529,128.77,82.19,0,0,0,3,92.5,58.78,92,110.74,76.88,277,124.8,82.57,139,143.42,84.53,21,163.11,80.44,0,0,0,0,0,0,0,0,0,532,128.56,82.09
3464,127.51,73.98,3366,126.76,74.32,1,72.4,33.8,13,89.68,60.26,515,108.95,70.99,2061,125.43,74.36,790,141.85,75.88,84,164.09,64.88,0,0,0,0,0,0,389,123.92,64.92,3075,127.97,75.09
500,130.52,78.61,498,130.67,78.64,0,0,0,2,93.5,69.99,71,110.77,73.85,253,126.16,77.53,150,142.79,81.05,24,161.25,84.11,0,0,0,0,0,0,0,0,0,500,130.52,78.61
279,128.4,78.67,264,127.24,78.93,0,0,0,2,90.5,69.24,37,109.32,78.87,161,125.72,79.37,66,140.99,77.99,0,0,0,13,157.77,75.36,0,0,0,0,0,0,279,128.4,78.67
1970,121,70.68,1838,121.99,71.27,2,73,50.8,83,87.6,64.27,579,107.57,71.13,967,124.38,71.39,292,142.69,71.15,26,161.94,67.26,4,176.62,37.62,17,106.56,45.81,542,124.87,68.7,1428,119.53,71.47
151,106.36,92.46,151,106.36,92.46,0,0,0,0,0,0,151,106.36,92.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,106.36,92.46
414,123.14,74.32,368,123.79,75.62,0,0,0,24,89.88,55.04,100,106.66,72.54,183,124.91,77.43,85,141.55,74.92,16,159.44,71.8,0,0,0,6,119.58,58.82,48,125.59,67.04,366,122.82,75.3
1664,125.47,73.95,1551,124.8,74.51,0,0,0,19,92.85,66.8,398,107.97,72.55,766,124.59,75.06,387,142.54,75.08,52,161.85,71.99,1,167.2,64.4,41,118.64,58.24,339,121.82,69.34,1325,126.4,75.09
1497,127.67,70.46,1406,125.7,71.13,0,0,0,9,88.5,54.87,315,108.5,71.38,760,125.2,71.64,331,143.2,69.93,82,165.9,62.7,0,0,0,0,0,0,714,129.2,68.07,783,126.28,72.7
939,117.77,70.94,876,118.67,71.72,0,0,0,27,90.78,58.76,339,107.19,71,459,123.06,72.42,78,142.77,70.49,4,160.38,62.66,0,0,0,32,110.48,58.17,292,118.21,68.73,647,117.57,71.95
653,121.86,72.27,636,121.86,72.61,0,0,0,9,91.61,69.92,194,108.11,73.03,354,124.77,72.6,88,140.44,71.94,4,159.25,58.7,2,185,36.32,2,121.25,60.98,171,123.87,68.93,482,121.15,73.48
1315,122.86,74.39,1272,123.15,74.77,6,68.25,47.21,23,90.83,71.14,326,108.68,75.43,763,124.94,75.34,183,141.47,71.74,6,163.33,62.16,8,179.19,53.83,0,0,0,168,128.19,68.19,1147,122.08,75.34
2772,117.61,73,2551,118.62,73.64,1,72.5,62,124,89.71,67.34,1068,107.12,73.23,1231,123.75,74.31,252,142.27,72.11,34,160.62,71.79,0,0,0,62,108.9,54.5,548,119.77,68.81,2224,117.07,74.05
968,117.07,71.62,868,120.32,72.55,0,0,0,81,88.2,64.9,303,107,71.9,466,124,73.5,99,143.8,70.2,0,0,0,0,0,0,19,91.6,43.4,209,124.3,67.7,759,115.08,72.79
942,123.96,72.38,907,124.17,72.85,0,0,0,21,91.1,64.37,201,106.98,72.86,544,125.49,73.42,162,141.08,71.12,9,170.44,57.86,2,189.8,54.47,3,107.67,46.37,187,127.79,67.64,755,123.02,73.6
1282,119.66,74.02,1244,120.3,74.49,0,0,0,8,90.94,63.62,407,108.47,73.76,727,123.77,74.72,110,141.12,75.23,0,0,0,0,0,0,30,100.92,53.55,188,120.77,68.82,1094,119.47,74.93
2123,119.91,73.67,1939,121.15,74.42,14,62.86,41.46,64,90.35,65.27,579,106.1,75.3,1062,123.66,74.66,298,141.44,72.39,23,159.28,71.91,1,185.5,58,82,111.69,63.79,312,128.67,68.7,1811,118.41,74.6
1562,123.34,72.7,1463,122.58,73.33,0,0,0,21,90.9,58.79,401,107.8,72.76,846,124.6,73.41,216,142.1,73.84,19,157.8,70.76,25,166.4,76.72,34,125.1,49.93,218,127.4,67.77,1344,122.68,73.53
2449,119.8,75.05,2370,120.37,75.27,1,71,37,64,90.55,65.75,857,107.96,75.22,1245,124.36,75.74,268,141.56,73.51,14,159.07,71.64,0,0,0,0,0,0,292,124.07,68.26,2157,119.22,76.01
939,133.62,80.04,895,133.69,80.42,0,0,0,0,0,0,90,107.23,72.09,427,126.34,78.65,288,143.03,83.27,90,165.18,84.34,0,0,0,44,132.19,72.25,17,118.79,69.61,922,133.9,80.21
2807,134.82,76.56,2447,130.76,76.85,2,67,16.7,13,88.8,56.8,378,108.1,75,1017,126,76.9,1052,143.5,77.3,327,165,77,18,180,50,0,0,0,164,123.7,67,2643,135.51,77.1
945,132.78,73.83,854,131.45,76.94,0,0,0,10,91.6,47.55,173,108.3,68.05,343,125.2,76.03,245,143.6,79.75,93,165.6,83.84,27,217.3,35.39,54,119.1,58.52,152,118.4,66.17,793,135.54,75.12
554,134.07,83.15,553,134.15,83.17,0,0,0,1,91,67.39,23,110.95,80.54,280,126.6,83.87,223,142.69,82.9,27,161.61,81.05,0,0,0,0,0,0,0,0,0,554,134.07,83.15
3414,128.28,75.28,3284,127.08,75.6,2,61.1,19.21,14,91.47,57.18,497,109.29,72.55,1955,125.4,75.54,832,141.66,77.14,114,168.46,69.85,0,0,0,0,0,0,403,124.77,67.08,3011,128.75,76.34
1978,121.23,70.43,1870,121.52,71.02,0,0,0,47,90.17,66.16,613,107.48,71.09,966,124.24,71.08,291,142.04,70.72,24,163.97,68.18,14,154.92,51.14,23,96.41,40.96,571,124.33,68.46,1407,119.97,71.25
447,127.98,74.24,429,127.58,74.85,0,0,0,0,0,0,58,110.62,73.85,269,125.91,74.03,102,141.63,77.22,9,161,70.27,0,0,0,9,114.17,47.41,75,125.17,67.43,372,128.55,75.58
1757,124.56,73.73,1655,123.98,74.17,0,0,0,17,91.74,64.22,461,108.22,71.44,833,124.88,74.78,361,142.01,75.59,43,161.4,72.62,1,150.8,36,41,122.4,61.52,355,120.28,68.52,1402,125.64,75
1716,125.78,70.91,1608,124.52,71.45,1,60,10,28,89.9,66.06,415,108,71.05,850,125,71.91,343,143.3,70.84,79,165,63.83,0,0,0,0,0,0,744,126.1,68.02,972,125.53,73.14
1131,120.47,70.79,1079,121.11,71.15,1,61,27,25,90.32,64.33,307,107.85,70.73,643,123.42,71.64,129,141.17,69.78,7,160.29,65.74,0,0,0,19,111.97,59.44,415,111.63,68.62,716,125.59,71.91
637,119.43,72.58,600,120.48,72.75,1,62,13,22,88.93,63.9,193,107.32,71.97,357,124.73,73.03,50,140.91,73.32,2,157,69.5,0,0,0,12,121.58,78.93,122,121.71,68.66,515,118.89,73.53
1545,125.26,73.41,1489,126.14,73.74,11,58.95,20.31,30,87.92,66.64,266,108.43,74.85,883,125.41,74.35,340,141.9,71.66,15,160.83,69.64,0,0,0,0,0,0,305,130.85,67.97,1240,123.88,74.82
3012,118.8,71.98,2732,120.55,72.79,4,71.63,58.2,172,88.18,66.67,948,107.34,72.88,1440,124.17,73.04,344,141.78,71.66,25,159.14,70.92,0,0,0,79,114.48,52.54,634,122.47,67.88,2378,117.82,73.12
976,117.96,71.4,858,121.92,72.34,0,0,0,95,88.7,65.4,287,107.2,72.3,441,125.1,73.4,130,143.6,69.3,0,0,0,0,0,0,23,91.1,48.1,185,127.5,67.4,791,115.72,72.42
960,122.52,72.16,925,122.46,72.36,3,64.13,38.34,13,88.75,63.61,248,108.19,71.62,543,124.53,72.84,134,140.48,71.71,14,162.49,77.28,2,197.8,54.18,3,110.07,39.46,170,121.7,67.21,790,122.7,73.22
1275,120.12,74.41,1235,119.73,74.77,0,0,0,5,93.1,67.35,427,108.89,73.76,714,123.42,75.05,94,140.98,76.43,12,164.5,76.22,0,0,0,23,123.87,55.54,164,117.9,68.53,1111,120.45,75.26
2287,116.51,73.19,2060,118.49,74.45,27,64.85,40.65,106,90.11,61.45,758,105.59,73.56,1100,123.07,74.83,202,142,75.14,13,160.81,73.82,11,182.64,57.3,70,99.43,57.62,282,121.38,69.09,2005,115.83,73.79
1675,123.16,73.68,1610,122.52,74.05,0,0,0,16,92.2,69.23,442,107.9,73.96,924,124.4,74.11,244,141.9,73.96,9,157.4,72.98,19,168.1,66.75,21,140,59.1,165,128.9,67.9,1510,122.53,74.34
2444,120.09,76.85,2383,120.08,76.99,0,0,0,36,90.72,70.45,846,107.77,76.97,1300,124.2,77.07,237,141.41,76.66,25,163.04,72.11,0,0,0,0,0,0,167,127.04,69.14,2277,119.58,77.45
1032,133.7,78.54,989,133.54,79.07,0,0,0,5,89.1,57.85,136,108.61,72.77,434,125.91,77.9,308,142.97,80.71,111,167.79,83.65,0,0,0,38,143.66,67.37,52,117.46,69.04,980,134.56,78.98
2845,136.39,78.68,2439,131.18,78.95,0,0,0,5,90.1,60,282,109,76.9,1105,125.2,78.8,1052,143.4,79.5,382,167.8,79.2,19,186.6,47,0,0,0,107,126.5,69.5,2738,136.78,79.01
1101,139.95,77.31,982,139.15,79.76,0,0,0,2,88.7,53.84,101,109,71.33,259,126.8,79.86,480,144.8,81.25,142,164,79.16,30,199.7,43.84,87,129.6,65.8,89,121.2,68.36,1012,141.6,77.99
3565,127.82,76.62,3384,126.91,76.67,2,69,29.88,43,89.68,59.26,595,108.51,73.18,1880,125.35,76.25,909,142.17,79.19,136,163.34,78.9,0,0,0,0,0,0,464,122.59,68.69,3101,128.6,77.75
91,126.16,79.73,2,118.8,93.72,0,0,0,0,0,0,0,0,0,2,118.8,93.72,0,0,0,0,0,0,0,0,0,89,126.33,79.43,0,0,0,91,126.16,79.73
482,133.26,79.57,482,133.26,79.57,0,0,0,0,0,0,66,109.94,72.31,211,127.25,79.1,166,143.36,81.47,39,162.23,82.77,0,0,0,0,0,0,0,0,0,482,133.26,79.57
267,121.69,78.14,251,121.05,78.28,0,0,0,7,91.36,70.43,89,108.08,76.07,131,125.25,79.35,31,140.55,79.16,0,0,0,9,162.94,78.42,0,0,0,0,0,0,267,121.69,78.14
661,122.51,78.46,604,123.25,79.28,0,0,0,29,87.25,68.6,182,107.24,77.59,299,124.87,79.92,123,143,79.79,11,162.9,75.54,7,166.14,72.79,10,105.35,55.89,11,131.22,64.95,650,122.37,78.71
265,126.42,82.72,261,126.06,82.73,0,0,0,0,0,0,42,109.99,78.79,171,125.66,83.38,48,141.53,83.37,3,159.67,85.96,0,0,0,1,121.5,66.6,0,0,0,265,126.42,82.72
936,122.46,76.7,917,122.44,76.99,0,0,0,3,93.07,70.27,260,108.76,74.62,509,124.06,77.51,148,140.87,78.65,4,166.15,63.48,0,0,0,12,117.08,60.61,45,114.48,69.05,891,122.86,77.06
537,118.01,72.88,494,117.72,73.18,1,72,40,23,88.6,65.78,237,107.1,70.38,202,123.4,74.54,55,142.6,77.89,19,163.7,72.72,0,0,0,0,0,0,0,0,0,537,118.01,72.88
445,116.25,76.26,433,116.69,76.39,0,0,0,7,91.14,69.67,193,109.08,75.78,230,122.07,77.16,10,139.8,70.19,0,0,0,0,0,0,5,113.5,71.76,41,113.54,74.47,404,116.53,76.44
387,117.86,74.91,376,118.5,75.32,1,71,40.61,3,93.67,67.6,149,108.29,75.47,204,123.52,75.34,23,140.04,74.46,0,0,0,0,0,0,7,100.93,55.17,17,120.41,67.58,370,117.75,75.25
928,121.98,77.47,907,122.65,77.77,4,55.5,13.41,14,89.5,68.59,237,108.95,78.03,549,124.32,78.4,121,141.93,74.85,3,159.83,61.18,0,0,0,0,0,0,15,126.2,67.69,913,121.91,77.63
1996,119.6,71.54,1822,121.35,72.46,1,74.5,55.01,91,89.2,66.69,587,107.43,72.52,988,124.49,72.9,247,141.85,70.83,17,163.79,69.99,0,0,0,65,102.21,47.62,360,118.1,66.63,1636,119.93,72.61
664,112.32,77.12,537,119.68,80.08,0,0,0,89,86.3,66.1,217,107.6,79,266,124.9,81.2,54,142.5,78.5,0,0,0,0,0,0,38,69.3,37.1,0,0,0,664,112.32,77.12
605,126.14,75.29,584,125.69,75.59,0,0,0,7,88.26,67.56,115,107.54,74.64,329,125.2,76.22,140,141.74,74.89,13,162.71,69.23,1,182,48,0,0,0,0,0,0,605,126.14,75.29
1028,119.68,75.88,1001,119.55,76.27,0,0,0,2,94.5,64.01,363,109.01,74.16,558,123.43,77.02,80,140.36,79.11,8,160.63,79.28,0,0,0,17,110.68,49.72,64,111.9,67.24,964,120.19,76.41
1536,118.47,77.22,1418,119.18,78.05,6,69.08,41.66,48,89.01,64.4,461,106.27,77.65,816,122.75,78.41,141,140.77,77.26,18,161.81,77.99,6,183.83,63.85,40,106.59,63.5,0,0,0,1536,118.47,77.22
1180,118.99,76.12,1111,118.97,76.42,0,0,0,29,87.7,69.02,442,108.2,75.21,562,123.1,76.67,107,141.8,79.12,8,157.5,84.11,13,169.1,79.48,19,117.2,58.51,0,0,0,1180,118.99,76.12
1765,120.55,79.1,1722,120.78,79.31,0,0,0,33,90.32,73.6,573,107.82,79.53,958,124.42,79.33,191,141.43,78.72,10,179.55,63.9,0,0,0,0,0,0,49,126.97,70.5,1716,120.36,79.36
667,135.47,79.92,631,135.24,80.69,0,0,0,3,93.17,56.96,84,108.53,71.72,263,124.99,81.32,170,143.96,84.23,114,165.54,79.33,0,0,0,33,143.85,67.46,0,0,0,667,135.47,79.92
2183,136.81,81.12,1907,132.49,81.39,0,0,0,4,90.5,70,167,109,78.6,834,126.1,81.5,906,142.7,81.7,269,167.6,80,3,184.4,55.7,0,0,0,35,139.5,70.5,2148,136.77,81.3
649,138.55,80.85,611,139.54,81.99,0,0,0,4,87.3,41.76,48,110.1,70.24,237,125.5,80.24,192,144.3,83.97,134,168.1,84.62,1,186.5,41.6,33,125,62.37,5,111.8,66.16,644,138.76,80.94
549,129.59,83.56,547,129.74,83.62,0,0,0,2,87,58.56,62,108.41,77.8,325,125.9,84.3,137,142.45,84.15,23,165.89,83.88,0,0,0,0,0,0,0,0,0,549,129.59,83.56
2554,130.34,78.97,2414,128.92,79.09,0,0,0,16,89.24,65.38,350,108.45,77.08,1253,125.75,78.86,811,142.65,80.07,124,163.22,78.07,0,0,0,0,0,0,145,126.18,70.14,2409,130.59,79.49
457,131.25,80.19,456,131.33,80.21,0,0,0,1,94,68,53,109.09,73.38,234,126.44,80.12,152,143.32,81.99,17,160.71,81.41,0,0,0,0,0,0,0,0,0,457,131.25,80.19
260,125.24,77.9,250,123.93,78.32,0,0,0,0,0,0,66,109.61,79.49,141,125.1,78.66,43,142.09,75.94,0,0,0,10,157.85,69.78,0,0,0,0,0,0,260,125.24,77.9
1927,123.21,70.1,1800,123.63,70.62,0,0,0,63,88.88,65.42,524,107.92,70.69,899,124.87,71.01,377,142.52,69.74,38,161.61,66.38,8,173.5,59.51,18,97.31,40.61,545,125.84,68.1,1382,122.17,70.92
86,128.09,79.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,128.09,79.9,0,0,0,86,128.09,79.9
382,126.31,76.38,374,126.45,76.55,0,0,0,2,93.5,61.81,54,109.24,74.48,231,124.85,77.14,89,141.03,76.16,2,162,70.75,0,0,0,4,112.25,68.33,24,130.9,68.48,358,126,76.93
1637,126.13,72.34,1556,126,72.84,0,0,0,12,89.83,59.81,300,108.95,71.21,884,125.09,73.1,372,141.92,73.31,26,162.46,69.84,0,0,0,43,118.78,57.72,395,125.11,68.5,1242,126.45,73.55
1642,126.25,72.03,1571,125.63,72.3,2,71.3,39.87,21,90.6,63.41,365,108.1,70.69,818,125.4,72.69,388,142.6,72.72,48,164.4,67.89,0,0,0,0,0,0,619,124.4,68.65,1023,127.37,74.02
943,119.24,71.61,914,119.6,71.92,0,0,0,10,90.5,66.55,317,107.86,71.55,510,123.3,72.16,87,140.72,71.72,2,156.5,66.61,0,0,0,17,112.21,57.1,287,120.49,69,656,118.69,72.77
621,118.95,71.49,604,119.24,71.76,0,0,0,10,92.3,67,218,106.89,71.27,338,124.05,72.08,48,141.52,71.48,2,160,73.07,1,186.5,48.6,4,103.25,43.78,150,119.87,68.53,471,118.65,72.45
1416,123.13,74.22,1345,124.18,74.7,11,60.59,19.95,41,87.94,64.04,315,107.23,74.36,771,125.38,75.52,259,141.23,72.84,18,160.31,71.99,1,169.5,67,0,0,0,170,129.39,68.62,1246,122.28,75.02
